loading app simple_switch_stp_13.py
loading app ryu.controller.ofp_handler
instantiating app None of Stp
creating context stplib
instantiating app simple_switch_stp_13.py of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
packet in 1152921504606846980 1a:44:c4:88:8d:33 33:33:00:00:00:02 3
packet in 1152921504606846980 ae:4a:3a:ab:b0:0d 33:33:00:00:00:02 2
packet in 1152921504606846982 1a:44:c4:88:8d:33 33:33:00:00:00:02 2
packet in 1152921504606846981 ae:4a:3a:ab:b0:0d 33:33:00:00:00:02 2
packet in 1152921504606846977 22:81:77:40:a2:17 33:33:00:00:00:02 2
packet in 1152921504606846977 da:35:08:0c:b1:6d 33:33:00:00:00:02 2
packet in 1152921504606846984 ae:4a:3a:ab:b0:0d 33:33:00:00:00:02 2
packet in 1152921504606846984 22:81:77:40:a2:17 33:33:00:00:00:02 2
packet in 1152921504606846984 da:35:08:0c:b1:6d 33:33:00:00:00:02 2
packet in 1152921504606846979 1a:44:c4:88:8d:33 33:33:00:00:00:02 4
packet in 1152921504606846982 ae:4a:3a:ab:b0:0d 33:33:00:00:00:02 2
packet in 1152921504606846985 22:81:77:40:a2:17 33:33:00:00:00:02 2
packet in 1152921504606846985 da:35:08:0c:b1:6d 33:33:00:00:00:02 2
packet in 1152921504606846979 22:81:77:40:a2:17 33:33:00:00:00:02 2
packet in 1152921504606846979 da:35:08:0c:b1:6d 33:33:00:00:00:02 2
packet in 1152921504606846977 1a:44:c4:88:8d:33 33:33:00:00:00:02 3
packet in 1152921504606846983 22:81:77:40:a2:17 33:33:00:00:00:02 4
packet in 1152921504606846983 da:35:08:0c:b1:6d 33:33:00:00:00:02 4
packet in 1152921504606846985 1a:44:c4:88:8d:33 33:33:00:00:00:02 2
packet in 1152921504606846978 1a:44:c4:88:8d:33 33:33:00:00:00:02 2
packet in 1152921504606846980 22:81:77:40:a2:17 33:33:00:00:00:02 2
packet in 1152921504606846980 da:35:08:0c:b1:6d 33:33:00:00:00:02 2
packet in 1152921504606846982 22:81:77:40:a2:17 33:33:00:00:00:02 2
packet in 1152921504606846982 da:35:08:0c:b1:6d 33:33:00:00:00:02 2
packet in 1152921504606846981 1a:44:c4:88:8d:33 33:33:00:00:00:02 2
packet in 1152921504606846984 1a:44:c4:88:8d:33 33:33:00:00:00:02 2
packet in 1152921504606846983 1a:44:c4:88:8d:33 33:33:00:00:00:02 4
packet in 1152921504606846977 e2:97:e0:31:07:71 33:33:00:00:00:02 2
packet in 1152921504606846985 0e:25:03:94:42:d0 33:33:00:00:00:02 2
packet in 1152921504606846985 82:02:a3:d6:1b:63 33:33:00:00:00:02 4
packet in 1152921504606846980 b2:4b:07:24:04:f4 33:33:00:00:00:02 2
packet in 1152921504606846980 f6:41:fc:2d:59:d6 33:33:00:00:00:02 4
packet in 1152921504606846982 c2:b1:66:5b:8b:1b 33:33:00:00:00:02 2
packet in 1152921504606846979 06:be:be:71:75:6d 33:33:00:00:00:02 4
packet in 1152921504606846983 0e:25:03:94:42:d0 33:33:00:00:00:02 4
packet in 1152921504606846985 e2:97:e0:31:07:71 33:33:00:00:00:02 2
packet in 1152921504606846979 e2:97:e0:31:07:71 33:33:00:00:00:02 2
packet in 1152921504606846977 82:02:a3:d6:1b:63 33:33:00:00:00:02 4
packet in 1152921504606846977 06:be:be:71:75:6d 33:33:00:00:00:02 3
packet in 1152921504606846983 82:02:a3:d6:1b:63 33:33:00:00:00:02 4
packet in 1152921504606846979 f6:41:fc:2d:59:d6 33:33:00:00:00:02 4
packet in 1152921504606846982 b2:4b:07:24:04:f4 33:33:00:00:00:02 2
packet in 1152921504606846983 e2:97:e0:31:07:71 33:33:00:00:00:02 4
packet in 1152921504606846980 e2:97:e0:31:07:71 33:33:00:00:00:02 2
packet in 1152921504606846985 06:be:be:71:75:6d 33:33:00:00:00:02 2
packet in 1152921504606846977 f6:41:fc:2d:59:d6 33:33:00:00:00:02 3
packet in 1152921504606846978 82:02:a3:d6:1b:63 33:33:00:00:00:02 2
packet in 1152921504606846978 06:be:be:71:75:6d 33:33:00:00:00:02 2
packet in 1152921504606846979 82:02:a3:d6:1b:63 33:33:00:00:00:02 2
packet in 1152921504606846982 e2:97:e0:31:07:71 33:33:00:00:00:02 2
packet in 1152921504606846983 06:be:be:71:75:6d 33:33:00:00:00:02 4
packet in 1152921504606846980 82:02:a3:d6:1b:63 33:33:00:00:00:02 2
packet in 1152921504606846981 82:02:a3:d6:1b:63 33:33:00:00:00:02 2
packet in 1152921504606846981 06:be:be:71:75:6d 33:33:00:00:00:02 2
packet in 1152921504606846984 82:02:a3:d6:1b:63 33:33:00:00:00:02 2
packet in 1152921504606846984 06:be:be:71:75:6d 33:33:00:00:00:02 2
packet in 1152921504606846985 f6:41:fc:2d:59:d6 33:33:00:00:00:02 2
packet in 1152921504606846978 f6:41:fc:2d:59:d6 33:33:00:00:00:02 2
packet in 1152921504606846982 82:02:a3:d6:1b:63 33:33:00:00:00:02 2
packet in 1152921504606846984 f6:41:fc:2d:59:d6 33:33:00:00:00:02 2
packet in 1152921504606846981 f6:41:fc:2d:59:d6 33:33:00:00:00:02 2
packet in 1152921504606846983 f6:41:fc:2d:59:d6 33:33:00:00:00:02 4
packet in 1152921504606846978 c6:80:e7:d8:b7:c0 33:33:00:00:00:02 2
packet in 1152921504606846984 c6:80:e7:d8:b7:c0 33:33:00:00:00:02 2
packet in 1152921504606846981 c6:80:e7:d8:b7:c0 33:33:00:00:00:02 2
packet in 1152921504606846981 ee:3f:46:c3:6a:28 33:33:00:00:00:02 2
packet in 1152921504606846983 a6:7d:bf:d9:b4:97 33:33:00:00:00:02 3
packet in 1152921504606846985 a6:7d:bf:d9:b4:97 33:33:00:00:00:02 3
packet in 1152921504606846977 a6:7d:bf:d9:b4:97 33:33:00:00:00:02 4
packet in 1152921504606846978 a6:7d:bf:d9:b4:97 33:33:00:00:00:02 2
packet in 1152921504606846979 a6:7d:bf:d9:b4:97 33:33:00:00:00:02 2
packet in 1152921504606846980 a6:7d:bf:d9:b4:97 33:33:00:00:00:02 2
packet in 1152921504606846981 a6:7d:bf:d9:b4:97 33:33:00:00:00:02 2
packet in 1152921504606846984 a6:7d:bf:d9:b4:97 33:33:00:00:00:02 2
packet in 1152921504606846982 a6:7d:bf:d9:b4:97 33:33:00:00:00:02 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 4
packet in 1152921504606846981 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846980 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846982 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846981 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846980 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 4
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846982 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 4
packet in 1152921504606846981 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846981 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 4
packet in 1152921504606846980 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846980 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846982 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846982 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 4
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846981 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846980 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846982 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 4
packet in 1152921504606846980 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846981 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846982 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846981 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 4
packet in 1152921504606846980 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846985 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846979 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846982 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846983 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 4
packet in 1152921504606846984 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846981 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846980 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846977 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 1
packet in 1152921504606846985 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846978 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846979 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846982 00:00:00:00:00:02 ff:ff:ff:ff:ff:ff 2
packet in 1152921504606846980 00:00:00:00:00:03 ff:ff:ff:ff:ff:ff 2
