loading app simple_switch_stp_13.py
loading app ryu.controller.ofp_handler
instantiating app None of Stp
creating context stplib
instantiating app simple_switch_stp_13.py of SimpleSwitch13
instantiating app ryu.controller.ofp_handler of OFPHandler
stplib: Exception occurred during handler processing. Backtrace from offending handler [port_status_handler] servicing event [EventOFPPortStatus] follows.
Traceback (most recent call last):
  File "/usr/local/lib/python3.6/dist-packages/ryu/base/app_manager.py", line 290, in _event_loop
    handler(ev)
  File "/usr/local/lib/python3.6/dist-packages/ryu/lib/stplib.py", line 301, in port_status_handler
    if bridge.ports_state[port.port_no] == port.state:
KeyError: 4294967294
packet in 1152921504606846978 e2:e6:ef:c7:0d:0b 33:33:00:00:00:02 4
packet in 1152921504606846978 a6:bb:04:49:bc:c5 33:33:00:00:00:02 4
packet in 1152921504606846977 a6:56:38:2d:54:ed 33:33:00:00:00:02 2
packet in 1152921504606846982 c6:88:17:c0:c3:83 33:33:00:00:00:02 2
packet in 1152921504606846982 22:81:77:40:a2:17 33:33:00:00:00:02 2
packet in 1152921504606846985 e2:e6:ef:c7:0d:0b 33:33:00:00:00:02 3
packet in 1152921504606846985 a6:bb:04:49:bc:c5 33:33:00:00:00:02 3
packet in 1152921504606846981 a6:56:38:2d:54:ed 33:33:00:00:00:02 2
packet in 1152921504606846977 e2:e6:ef:c7:0d:0b 33:33:00:00:00:02 2
packet in 1152921504606846977 a6:bb:04:49:bc:c5 33:33:00:00:00:02 2
packet in 1152921504606846979 e2:e6:ef:c7:0d:0b 33:33:00:00:00:02 2
packet in 1152921504606846979 a6:bb:04:49:bc:c5 33:33:00:00:00:02 2
packet in 1152921504606846980 a6:56:38:2d:54:ed 33:33:00:00:00:02 2
packet in 1152921504606846982 a6:56:38:2d:54:ed 33:33:00:00:00:02 2
packet in 1152921504606846981 e2:e6:ef:c7:0d:0b 33:33:00:00:00:02 2
packet in 1152921504606846981 a6:bb:04:49:bc:c5 33:33:00:00:00:02 2
